"AverageShortestPathLength","Betweenness","Closeness","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Eigenvector","Interactor Type","IsSingleNode","name","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Short Label","Species (NCBI TAX ID)","Species Full Name","Species Short Label","Stress","Subgragh","synonym","systematic name"
,,,,,,,,"protein",,"FAM187B",,"false",,"FAM187B","FAM187B","9606","Homo sapiens","Human",,,"TMEM162",""
,,,,,,,,"protein",,"CCNI2",,"false",,"CCNI2","CCNI2","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"C16orf62",,"false",,"C16orf62","C16orf62","9606","Homo sapiens","Human",,,"","101F10.2"
,,,,,,,,"protein",,"TRNI",,"false",,"TRNI","TRNI","9606","Homo sapiens","Human",,,"MTTI",""
,,,,,,,,"protein",,"SIGLEC10",,"false",,"SIGLEC10","SIGLEC10","9606","Homo sapiens","Human",,,"SLG2","UNQ477/PRO940"
,,,,,,,,"protein",,"SIGLEC9",,"false",,"SIGLEC9","SIGLEC9","9606","Homo sapiens","Human",,,"siglec-9","UNQ668/PRO1302"
,,,,,,,,"protein",,"SNAR-B2",,"false",,"SNAR-B2","SNAR-B2","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"gene",,"SEPT7",,"false",,"SEPT7","SEPT7","9606","Homo sapiens","Human",,,"SEPT7A",""
,,,,,,,,"protein",,"GGNBP2",,"false",,"GGNBP2","GGNBP2","9606","Homo sapiens","Human",,,"ZNF403",""
,"5.395779220779221","0.5040128410914928",,,"8.0",,"0.010899525135755539","protein",,"E7",,"false",,"E7","E7","333760","Human papillomavirus (16)","Human papillomavirus",,,"","HpV16gp2"
,,,,,,,,"protein",,"ULBP3",,"false",,"ULBP3","ULBP3","9606","Homo sapiens","Human",,,"RAET1N","RP11-472G23.5"
,,,,,,,,"protein",,"HMGB1P1",,"false",,"HMGB1P1","HMGB1P1","9606","Homo sapiens","Human",,,"dJ579F20.1",""
,,,,,,,,"protein",,"C16orf96",,"false",,"C16orf96","C16orf96","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"TTC29",,"false",,"TTC29","TTC29","9606","Homo sapiens","Human",,,"TBPP2A",""
,,,,,,,,"gene",,"MED23",,"false",,"MED23","MED23","9606","Homo sapiens","Human",,,"SUR2","RP5-914N13.2"
,,,,,,,,"protein",,"PPP1R1A",,"false",,"PPP1R1A","PPP1R1A","9606","Homo sapiens","Human",,,"IPP1",""
,,,,,,,,"gene",,"UPF3A",,"false",,"UPF3A","UPF3A","9606","Homo sapiens","Human",,,"UPF3","RP11-569D9.1"
,,,,,,,,"gene",,"UPF2",,"false",,"UPF2","UPF2","9606","Homo sapiens","Human",,,"smg-3",""
,,,,,,,,"gene",,"ARHGEF11",,"false",,"ARHGEF11","ARHGEF11","9606","Homo sapiens","Human",,,"PDZ-RHOGEF","RP11-356J7.2"
,,,,,,,,"gene",,"MAP1LC3B",,"false",,"MAP1LC3B","MAP1LC3B","9606","Homo sapiens","Human",,,"MAP1LC3B-a",""
,,,,,,,,"protein",,"TMEM129",,"false",,"TMEM129","TMEM129","9606","Homo sapiens","Human",,,"D4S2561E",""
,,,,,,,,"gene",,"AGFG2",,"false",,"AGFG2","AGFG2","9606","Homo sapiens","Human",,,"RABR","tcag7.884"
,,,,,,,,"gene",,"FLII",,"false",,"FLII","FLII","9606","Homo sapiens","Human",,,"Fli1",""
,,,,,,,,"protein",,"PLEKHA3",,"false",,"PLEKHA3","PLEKHA3","9606","Homo sapiens","Human",,,"FAPP1",""
,,,,,,,,"gene",,"BZW2",,"false",,"BZW2","BZW2","9606","Homo sapiens","Human",,,"MSTP017","HSPC028"
,,,,,,,,"protein",,"NEK10",,"false",,"NEK10","NEK10","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"COX20",,"false",,"COX20","COX20","9606","Homo sapiens","Human",,,"FAM36A",""
,,,,,,,,"protein",,"DENND6A",,"false",,"DENND6A","DENND6A","9606","Homo sapiens","Human",,,"FAM116A",""
,"8.666666666666666","0.5025252525252525",,,"6.0",,"0.011343518272042274","protein",,"CCNYL1",,"true",,"CCNYL1","CCNYL1","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"LOC100419906",,"false",,"LOC100419906","LOC100419906","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"MT1E",,"false",,"MT1E","MT1E","9606","Homo sapiens","Human",,,"MTD",""
,"0.0","0.5008389261744967",,,"2.0",,"0.009563503786921501","protein",,"ARHGEF26",,"true",,"ARHGEF26","ARHGEF26","9606","Homo sapiens","Human",,,"SGEF",""
,,,,,,,,"protein",,"GSAP",,"false",,"GSAP","GSAP","9606","Homo sapiens","Human",,,"PION","tcag7.1314"
,,,,,,,,"protein",,"UL97",,"false",,"UL97","UL97","10359","Human Herpesvirus 5","Human Cytomegalovirus",,,"","HHV5wtgp090"
,,,,,,,,"protein",,"UL36",,"false",,"UL36","UL36","10298","Human Herpesvirus 1","Human Herpesvirus 1",,,"","HHV1gp054"
,,,,,,,,"protein",,"TRIML2",,"false",,"TRIML2","TRIML2","9606","Homo sapiens","Human",,,"SPRYD6",""
,,,,,,,,"protein",,"ORF64",,"false",,"ORF64","ORF64","37296","Human Herpesvirus 8","Human Herpesvirus 8",,,"","HHV8GK18_gp72"
,"0.0","0.5012594458438288",,,"3.0",,"0.012734978459775448","protein",,"ARL13B",,"true",,"ARL13B","ARL13B","9606","Homo sapiens","Human",,,"JBTS8",""
,,,,,,,,"protein",,"TOP1MT",,"false",,"TOP1MT","TOP1MT","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"PADI1",,"false",,"PADI1","PADI1","9606","Homo sapiens","Human",,,"PDI1",""
,,,,,,,,"protein",,"NEIL3",,"false",,"NEIL3","NEIL3","9606","Homo sapiens","Human",,,"hNEI3",""
,,,,,,,,"protein",,"SHC4",,"false",,"SHC4","SHC4","9606","Homo sapiens","Human",,,"SHCD","UNQ6438/PRO21364"
,,,,,,,,"protein",,"CIB2",,"false",,"CIB2","CIB2","9606","Homo sapiens","Human",,,"USH1J",""
,,,,,,,,"protein",,"FAM186B",,"false",,"FAM186B","FAM186B","9606","Homo sapiens","Human",,,"C12orf25",""
,,,,,,,,"protein",,"EMC4",,"false",,"EMC4","EMC4","9606","Homo sapiens","Human",,,"TMEM85","HSPC184"
,,,,,,,,"protein",,"TXNDC16",,"false",,"TXNDC16","TXNDC16","9606","Homo sapiens","Human",,,"KIAA1344",""
,,,,,,,,"protein",,"EMC6",,"false",,"EMC6","EMC6","9606","Homo sapiens","Human",,,"TMEM93",""
,,,,,,,,"protein",,"EMC10",,"false",,"EMC10","EMC10","9606","Homo sapiens","Human",,,"HSS1","UNQ764/PRO1556"
,,,,,,,,"protein",,"C6orf120",,"false",,"C6orf120","C6orf120","9606","Homo sapiens","Human",,,"bA160E12.4",""
,,,,,,,,"protein",,"CARS2",,"false",,"CARS2","CARS2","9606","Homo sapiens","Human",,,"","OK/SW-cl.10"
,,,,,,,,"protein",,"UBE2L1",,"false",,"UBE2L1","UBE2L1","9606","Homo sapiens","Human",,,"UBEL1",""
,,,,,,,,"protein",,"MBNL2",,"false",,"MBNL2","MBNL2","9606","Homo sapiens","Human",,,"PRO2032","RP11-128N14.1"
,,,,,,,,"protein",,"TMEM41B",,"false",,"TMEM41B","TMEM41B","9606","Homo sapiens","Human",,,"",""
