Source,Target
52317,32581
52317,55903
52317,65425
64603,59779
64603,60557
64603,64017
64603,56159
64603,56675
64603,59243
64603,60375
64603,36615
64603,55415
64603,65351
64603,52341
64603,63613
64603,55795
64603,63167
64603,47147
64603,55627
64603,32727
64603,55577
64603,15091
64603,33205
64603,55879
64603,32519
64603,50781
64603,20471
64603,35755
64603,27207
64603,43597
64603,57667
64603,56053
64603,56631
64603,47439
64603,65217
64603,58153
64603,46831
64603,57643
64603,41979
64603,42795
64603,26687
64603,30277
64603,29065
64603,62375
64603,30355
64603,32607
64603,20823
64603,42155
64603,32789
64603,31307
64603,51739
64603,29257
64603,48683
64603,42545
64603,65257
64603,48263
64603,50047
64603,43081
64603,52927
64603,53213
64603,50937
64603,64473
64603,41037
64603,53025
64603,56315
64603,64059
64603,61551
64603,55793
64603,59379
64603,50247
64603,50201
64603,52375
64603,56051
64603,32313
64603,63461
64603,54565
64603,61257
64603,61803
64603,63405
64603,64139
64603,56605
64603,55511
64603,62349
64603,47673
64603,26587
64603,42829
64603,23151
64603,61883
64603,21723
64603,61025
64603,20827
64603,62379
64603,62741
64603,58855
64603,53697
64603,63577
64603,56941
64603,50793
64603,61193
64603,41945
64603,55419
64603,51815
64603,56401
64603,32203
64603,17623
64603,53031
64603,58919
64603,32625
64603,32489
64603,27163
64603,43029
64603,46039
64603,29531
64603,17633
64603,32679
64603,27183
64603,52359
64603,34333
64603,21681
64603,52317
64603,25941
64603,64907
64603,57153
64603,60213
64603,61781
64603,37023
64603,41695
64603,62705
64603,62685
64603,31977
64603,65175
64603,51675
64603,64595
64603,49705
64603,52263
64603,64793
64603,60379
64603,53259
64603,64567
64603,46019
64603,59853
64603,50713
64603,44095
64603,64721
64603,55369
64603,55579
64603,59417
64603,60525
64603,61217
64603,64225
64603,63819
64603,63593
64603,52083
64603,27035
64603,63839
64603,53631
64603,64597
64603,31697
64603,59313
64603,21059
64603,49771
64603,47437
64603,49365
64603,58549
64603,56759
64603,57537
64603,36621
64603,60657
64603,57085
64603,64387
64603,63809
64603,59665
64603,49249
64603,60083
64603,57485
64603,48627
64603,50887
64603,58965
64603,49343
64603,41911
64603,55815
64603,19969
64603,63165
64603,52707
64603,41305
64603,48615
64603,58187
64603,5005
64603,61387
64603,63303
64603,49453
64603,52243
64603,65037
64603,51037
64603,57777
64603,45571
64603,21929
64603,55161
64603,45463
64603,57627
64603,30439
64603,51105
64603,57899
64603,64493
64603,65313
64603,32477
64603,64781
64603,63615
64603,57857
64603,50941
64603,65401
64603,50071
64603,52653
64603,28607
64603,55233
64603,46051
64603,59679
64603,54215
64603,44117
64603,55371
64603,55601
64603,61717
64603,57253
64603,57475
64603,52957
64603,55705
64603,15627
64603,61207
64603,59939
64603,52751
64603,56389
64603,44329
64603,56147
64603,63401
64603,34385
64603,52191
64603,57429
64603,57347
63577,53165
57429,63577
57429,64597
44117,57759
64597,60557
64597,59779
64597,45493
64597,64017
64597,56105
64597,21691
64597,3671
64597,17663
64597,42287
64597,28751
64597,20421
64597,58047
64597,28963
64597,3673
64597,30623
64597,33303
64597,32257
64597,46865
64597,33617
64597,31337
64597,41011
64597,51987
64597,21863
64597,34815
64597,42241
64597,22157
64597,48101
64597,57551
64597,59113
64597,45443
64597,47145
64597,64189
64597,41779
64597,64245
64597,57683
64597,50483
64597,50541
64597,64479
64597,63847
64597,56785
64597,64037
64597,58847
64597,52461
64597,64669
64597,61543
64597,60375
64597,42085
64597,36597
64597,30439
64597,46001
64597,19569
64597,45437
64597,17639
64597,26111
64597,42125
64597,60965
64597,14213
64597,14521
64597,40447
64597,64035
64597,61227
64597,14433
64597,56929
64597,23219
64597,15103
64597,20969
64597,51073
64597,32437
64597,64419
64597,44419
64597,53023
64597,45527
64597,55955
64597,56149
64597,64385
64597,55735
64597,41685
64597,56519
64597,58557
64597,31663
64597,57629
64597,27865
64597,45995
64597,63167
64597,47147
64597,47713
64597,3675
64597,65359
64597,45503
64597,50797
64597,63373
64597,5021
64597,58669
64597,53165
64597,63543
64597,55609
64597,61207
64597,34287
64597,46299
64597,41689
64597,21933
64597,44341
64597,42203
64597,49417
64597,57857
64597,17591
64597,32649
64597,51083
64597,48105
64597,32727
64597,43621
64597,58719
64597,55627
64597,55577
64597,15091
64597,33205
64597,55879
64597,32519
64597,50781
64597,27207
64597,20471
64597,43597
64597,35755
64597,56053
64597,57667
64597,41691
64597,21059
64597,20243
64597,33161
64597,35047
64597,31697
64597,30983
64597,21727
64597,47331
64597,35983
64597,56147
64597,27039
64597,62105
64597,63303
64597,45571
64597,54117
64597,47661
64597,48627
64597,65353
64597,59401
64597,50437
64597,36575
64597,57643
64597,58153
64597,22151
64597,46831
64597,42795
64597,30223
64597,30277
64597,41979
64597,62375
64597,26687
64597,32607
64597,29065
64597,20823
64597,30355
64597,42155
64597,32789
64597,29257
64597,31307
64597,42545
64597,51739
64597,31901
64597,48683
64597,48263
64597,42415
64597,43081
64597,53213
64597,50047
64597,50937
64597,52927
64597,64473
64597,41037
64597,53025
64597,56315
64597,64059
64597,61551
64597,55793
64597,59379
64597,52375
64597,50247
64597,56051
64597,50201
64597,63461
64597,59287
64597,61257
64597,32313
64597,63405
64597,54565
64597,21923
64597,63547
64597,17621
64597,56675
64597,59875
64597,28541
64597,61803
64597,21929
64597,63591
64597,58731
64597,40833
64597,31139
64597,25841
64597,43155
64597,46051
64597,55897
64597,52481
64597,59679
64597,62349
64597,49355
64597,47673
64597,26587
64597,61883
64597,42829
64597,61025
64597,23151
64597,62379
64597,21723
64597,62741
64597,20827
64597,58855
64597,53697
64597,57615
64597,56353
64597,56941
64597,63577
64597,61143
64597,50793
64597,61193
64597,41945
64597,55419
64597,46093
64597,56401
64597,51815
64597,58965
64597,32203
64597,17623
64597,53031
64597,58919
64597,32625
64597,32489
64597,43029
64597,23099
64597,29531
64597,27163
64597,32679
64597,46039
64597,52359
64597,17633
64597,21681
64597,27183
64597,25941
64597,34333
64597,57153
64597,52317
64597,61781
64597,41695
64597,60213
64597,62705
64597,37023
64597,62685
64597,31977
64597,65175
64597,51675
64597,64595
64597,49705
64597,52263
64597,64567
64597,60379
64597,56159
64597,59853
64597,59243
64597,44095
64597,46019
64597,55369
64597,50713
64597,59417
64597,64721
64597,61217
64597,55579
64597,63819
64597,60525
64597,64225
64597,52751
64597,63593
64597,52083
64597,27035
64597,63839
64597,53631
64597,47439
64597,59313
64597,49771
64597,53259
64597,47437
64597,49365
64597,58549
64597,56759
64597,57537
64597,36621
64597,60657
64597,57085
64597,64387
64597,63809
64597,59665
64597,49249
64597,65217
64597,60083
64597,57485
64597,50887
64597,64907
64597,49343
64597,41911
64597,55815
64597,19969
64597,63165
64597,52707
64597,41305
64597,48615
64597,58187
64597,5005
64597,61387
64597,64793
64597,52341
64597,49453
64597,52243
64597,65037
64597,51037
64597,57777
64597,55161
64597,45463
64597,57627
64597,51105
64597,57899
64597,64493
64597,65313
64597,32477
64597,64781
64597,63615
64597,50941
64597,65401
64597,50071
64597,52653
64597,55795
64597,28607
64597,55233
64597,55511
64597,64139
64597,36615
64597,54215
64597,44117
64597,55371
64597,55601
64597,56605
64597,61717
64597,55415
64597,57253
64597,57475
64597,52957
64597,55705
64597,63613
64597,15627
64597,59939
64597,56631
64597,56389
64597,44329
64597,56557
64597,62443
64597,53897
64597,65439
64597,59011
64597,57789
64597,59353
64597,55901
64597,63911
64597,59419
64597,64149
64597,57535
64597,64285
64597,47013
64597,59673
64597,43899
64597,60089
64597,60421
64597,53797
64597,60575
64597,63759
64597,61521
64597,58727
64597,43201
64597,49993
64597,59999
64597,59389
64597,54929
64597,63899
64597,55943
64597,63701
64597,58265
64597,62123
64597,42869
64597,63807
64597,58401
64597,64533
64597,64685
64597,61013
64597,64569
64597,46297
64597,57641
64597,57471
64597,64185
64597,58093
64597,59133
64597,54543
64597,59125
64597,59013
64597,64947
64597,58015
64597,62525
64597,54109
64597,58917
64597,64325
64597,59109
64597,64981
64597,62121
64597,65149
64597,63401
64597,55315
64597,63295
64597,65101
64597,63805
64597,63409
64597,60733
64597,59203
64597,60157
64597,59511
64597,58895
64597,58707
64597,61923
64597,52715
64597,53219
64597,64765
64597,57759
64597,52943
64597,61103
64597,46987
64597,63571
64597,58109
64597,52713
64597,64965
64597,61305
64597,61701
64597,57137
64597,48235
64597,58803
64597,59599
64597,52307
64597,47059
64597,59019
64597,47403
64597,58781
64597,46855
64597,62119
64597,52535
64597,64931
64597,58657
64597,63411
64597,64257
64597,55995
64597,63703
64597,59239
64597,58127
64597,65125
64597,47555
64597,64125
64597,55337
64597,65167
64597,34773
64597,64575
64597,62039
64597,53795
64597,64985
64597,59471
64597,65261
64597,58403
64597,58111
64597,63981
64597,65123
64597,58777
64597,63323
64597,59803
64597,58605
64597,62077
64597,65317
64597,58975
64597,53967
64597,58839
64597,55235
64597,54389
64597,57401
64597,55133
64597,53787
64597,57347
64597,65051
64597,65213
64597,55903
64597,64833
64597,63283
64597,14427
64597,35487
64597,46073
64597,56251
64597,20407
64597,42485
64597,33943
64597,20077
64597,53079
64597,55143
64597,57115
64597,32581
64597,61595
64597,62341
64597,64407
64597,59493
64597,58521
64597,59567
64597,65445
64597,51421
64597,49827
64597,32929
64597,29131
64597,26275
64597,50197
64597,27009
64597,44975
64597,21779
64597,34385
64597,26831
64597,56589
64597,65095
64597,62515
64597,62519
64597,59813
64597,60167
64597,29253
64597,64729
64597,56591
64597,54411
64597,65425
64597,53571
64597,63249
64597,64283
64597,56237
64597,59457
64597,64815
64597,52789
52307,21727
52307,32519
52307,49705
52307,21723
52307,55577
52307,53213
52307,56401
52307,21923
52307,55415
52307,32489
52307,52341
52307,58919
52307,44419
52307,21929
52307,59875
52307,32727
52307,44341
52307,52927
52307,58965
52307,54389
52307,35755
52307,60089
52307,63759
52307,62525
52307,59803
52307,52715
52307,59203
52307,43899
52307,58187
52307,65175
52307,64035
52307,60379
52307,65425
52307,62077
63571,54109
63571,58093
63571,58109
63571,59599
63571,43201
63571,42869
63571,58781
63571,53795
63571,58265
63571,47403
63571,60157
63571,58127
64595,65261
64595,45527
64595,62443
64595,57535
64595,64771
64595,55627
64595,57777
64595,53797
64595,58685
64595,62705
56401,60575
61521,58093
61521,58707
59471,42545
59471,41037
59471,51083
59471,57667
59471,42287
59471,41233
59471,43029
59471,47403
59471,47437
59471,52083
59471,45493
59471,62515
59471,55955
59471,42155
59471,55369
59471,57485
59471,63543
59471,57537
59471,63323
59471,64387
59471,62525
59471,57641
59471,62705
59471,61701
59471,57471
59471,65125
59471,64185
59471,58719
59471,58727
59471,55579
59471,57903
59471,62039
59471,64721
59471,59313
55369,53797
50247,52375
56389,65425
62525,41233
62525,59203
62525,47331
63547,45493
63547,55133
63547,63981
64569,62039
64569,15091
64569,17633
64569,56315
64569,62375
64569,32625
64569,42415
64569,32477
64569,26111
64569,47147
64569,47145
64569,61543
64569,42545
64569,27039
64569,62349
64569,26587
64569,62685
64569,25841
64569,34287
64569,41945
64569,47277
64569,49353
64569,49355
64569,36615
64569,57667
64569,46093
64569,60375
64569,59379
64569,46019
64569,63591
64569,61025
64569,19569
64569,55233
64569,25941
64569,43029
64569,29257
64569,45571
64569,57643
64569,41233
64569,64059
64569,64139
64569,47403
64569,59511
64569,15103
64569,57085
64569,63809
64569,32679
64569,47439
64569,48683
64569,56675
64569,23151
64569,58731
64569,45503
64569,56353
64569,63547
64569,57627
64569,61781
64569,52751
64569,49365
64569,53165
64569,52707
64569,61551
64569,64133
64569,64765
64569,59401
64569,52375
64569,53025
64569,57153
64569,57615
64569,58919
64569,60657
64569,49249
64569,42155
64569,50781
64569,49705
64569,63819
64569,56159
64569,59417
64569,32489
64569,65317
64569,65051
64569,65359
64569,49771
64569,46865
64569,64595
64569,57485
64569,63543
64569,57537
64569,41979
64569,56401
64569,58187
64569,61883
64569,56941
64569,58965
64569,64125
64569,53795
64569,59353
64569,58093
64569,60525
64569,52927
64569,57629
64569,50201
64569,53697
64569,56605
64569,59853
64569,59471
64569,61217
64569,46051
64569,57641
64569,65175
64569,51675
64569,65101
64569,56147
64569,64245
64569,59803
64569,55879
64569,62443
64569,65167
64569,55901
64569,63577
64569,64907
64569,57535
64569,65217
64569,59243
64569,59109
64569,59013
64569,52317
64569,55995
64569,65213
64569,64793
64569,59133
64569,60965
64569,52263
64569,59313
64569,50713
64569,58727
64569,60379
64569,44095
64569,52341
64569,58549
64569,31697
64569,21923
64569,56759
64569,55315
64569,64981
64569,55133
64569,57759
64569,52481
64569,55369
64569,57551
57401,58111
57401,58015
57401,58917
57401,64685
57401,61013
57401,58839
57401,53897
57401,58093
57401,64257
57401,43201
57401,58895
57401,59125
57401,61103
57401,63571
57401,62119
57401,60157
62519,57615
62519,60525
62519,61883
64567,64569
64567,55369
64567,64595
64567,62039
62515,62379
62515,61781
47145,42829
47145,41233
47145,65353
52263,64595
58403,53897
58403,32477
58403,61103
58403,57537
58403,57641
58403,47013
58403,63571
58403,61923
58403,58895
56353,64325
56353,65425
58401,65425
58401,54411
59419,64575
59419,58719
59419,59353
48153,64597
48153,64595
57367,55955
57367,59599
57367,58605
57367,53797
57367,65261
57367,43201
57367,57759
57367,64257
57367,53897
57367,64597
57367,57347
57367,59803
57367,59541
57367,55995
57367,59511
57367,62123
57367,64533
57367,59419
57367,53967
57367,65051
57367,53571
57367,63409
57367,52713
57367,64985
57367,64575
57367,64981
57367,58127
64533,65167
64533,58403
64533,55943
55315,64765
55315,52707
55315,58605
55315,64863
55315,42155
55315,65425
59401,65425
59401,63899
60421,65445
60421,65425
57347,46855
57347,58839
57347,57759
57347,59133
57347,62443
57347,65317
57347,53897
57347,53797
57347,62123
57347,55235
57347,59239
57347,53967
57347,63981
57347,63411
57347,59803
57347,65261
57347,64765
57347,65051
34815,58111
59389,58685
59389,58917
59389,43899
59389,60157
59389,54109
59389,59353
59389,58127
59387,53219
59387,63981
59387,53631
59387,43905
59387,64597
59387,65351
59387,64781
56315,42203
56315,53023
56315,55369
56315,63373
59379,63577
59379,59243
59379,63981
59379,55133
59379,46051
59379,64059
64493,63577
64493,65425
64493,59379
64493,53165
63469,58015
63469,60083
63469,64597
62443,64985
62443,62341
62443,63571
62443,57537
62443,63703
62443,61923
62443,64965
62443,58403
62443,62379
48105,58719
48105,63295
48105,62077
48101,53697
48101,55315
48101,57137
63461,57485
53219,59803
53219,62039
53219,57759
46051,64493
46051,55793
64479,65051
64479,64493
64479,59243
64479,57629
64479,60733
64479,22157
64479,55995
64479,61143
64479,65217
52191,64597
53213,65175
26587,64189
60379,63981
60379,59803
60379,57759
60379,62525
60379,59471
60379,56353
60379,55233
60379,64017
60379,52341
60379,61227
60379,41911
59353,54109
59353,64685
59353,64257
59353,58093
59353,57401
59353,43201
59353,58111
59353,58839
59353,63401
59353,60157
59353,52715
59353,52713
64473,64793
64473,56353
64473,58549
41945,65425
34773,62119
47059,64965
47059,64603
47059,64575
61387,63165
61387,64863
61387,36621
61387,56389
54215,65313
54215,65425
62405,52263
62405,59779
62405,58727
62405,55955
62405,53219
62405,43899
62405,63401
62405,65439
62405,58521
62405,59203
62405,42869
62405,53797
62405,53571
62405,64985
62405,64685
62405,61013
62405,64575
62405,58127
62405,64533
62405,65051
62405,59133
62405,53897
62405,65213
62405,58109
62405,58975
62405,55133
62405,58093
62405,64981
62405,62443
62405,59419
62405,58605
62405,63981
62405,57759
62405,62525
62405,63805
62405,59471
62405,46297
62405,60089
62405,57475
62405,65167
62405,58731
62405,53787
62405,49343
62405,61305
62405,58839
62405,47437
62405,53631
62405,49365
62405,61193
62405,58549
62405,65037
62405,62119
62405,53259
62405,65359
62405,59999
62405,57485
62405,61103
62405,58401
62405,58187
62405,55903
62405,64125
62405,47277
62405,53967
62405,56401
62405,64865
62405,65095
62405,65101
62405,42795
62405,61387
62405,58719
62405,59013
62405,62141
62405,57471
62405,59567
62405,60083
62405,43905
62405,55235
62405,59673
62405,47059
62405,46987
62405,58965
62405,63571
62405,63409
62405,63911
62405,52535
62405,59599
62405,56591
62405,54929
62405,52943
62405,65317
62405,52307
62405,57537
62405,59511
62405,34287
62405,64965
62405,52715
62405,53795
62405,64257
62405,64765
62405,54389
62405,59125
62405,54109
62405,57535
62405,55995
62405,58917
62405,64597
62405,57401
62405,46855
62405,43201
62405,59803
62405,59353
62405,65425
55235,52713
55235,65213
55235,58605
55235,55995
55235,57401
55235,53795
55235,61103
55235,59803
55235,57759
55235,57535
55235,64985
55235,46855
55235,64533
55235,46987
55235,43899
55235,58839
55235,64685
55235,54389
55235,58111
55235,59019
55235,60089
55235,55133
55235,54109
55235,61013
55235,58965
55235,50713
55235,61521
55235,62443
55235,59013
55235,64965
55235,44727
55235,60379
55235,53967
55235,52943
55235,58657
55235,58093
55235,59353
55235,58109
55235,47013
55235,59599
55235,49993
55235,55315
55235,62141
55235,47933
55235,46297
55235,64257
55235,42869
55235,65149
55235,59133
55235,58917
55235,63981
55235,61923
55235,63571
55235,64765
55235,62119
55235,59389
55235,58781
55235,58127
55235,58803
55235,58403
55235,58895
55235,47673
55235,57789
55235,63401
55235,54929
55235,58975
55235,63759
55235,44117
55235,47555
55235,59239
55235,63703
55235,52461
55235,58707
55235,58265
55235,53897
55235,58015
55235,60733
55235,51421
55235,43201
55235,60157
55235,53797
55235,59125
56251,65037
41911,56353
41911,57537
63411,63303
63411,57789
63411,31697
63411,65051
63411,57485
63411,60575
63411,55371
63411,64721
63411,64325
63411,54929
63411,52751
63411,64981
63411,62077
63411,58657
63411,47059
63411,65095
63411,57759
63411,64907
63411,58549
63411,21923
63411,54411
63411,55943
63411,64387
63411,59511
63411,63981
63411,52713
63411,55315
63411,65213
63411,59109
63411,65317
63411,52943
63411,59803
63411,19969
59313,63809
59313,56389
59313,63165
59313,61387
59313,62119
63409,64533
44975,57759
44975,59803
44975,48263
44975,65213
44975,64833
56237,63981
56237,58919
56237,50541
56237,51037
53165,55627
53165,65257
63405,59417
62379,62519
63401,58403
63401,20407
63401,47673
63401,58015
63401,43029
63401,64407
63401,53631
63401,62341
63401,57615
63401,50201
63401,53697
63401,64575
63401,64965
63401,64017
63401,43899
63401,62443
63401,63819
63401,47013
63401,53797
63401,41685
63401,56591
63401,63703
63401,61923
63401,63571
50089,64385
50089,64597
50089,59853
50089,50047
47013,58975
47013,62443
47013,34773
57253,47147
57253,57475
57253,59133
57253,58605
57253,47437
57253,46855
57253,65425
57253,62705
65445,62077
65445,65095
65445,64017
65445,65351
65445,65011
65445,65253
64419,44341
51105,59679
51105,31697
51105,56631
51105,56759
51105,65425
65439,61193
58265,58015
64407,52943
59287,65317
65425,64595
65425,63401
65425,64567
65425,49771
65425,63981
63373,58965
63373,58187
63373,65149
63373,65401
63373,52191
63373,63571
63373,56605
46987,55943
46987,62525
46987,63571
46987,36597
46987,62119
46987,61923
46987,58803
46987,65425
62341,61143
14213,42085
64387,48615
64387,61701
64387,57535
64387,65351
64387,64863
64387,64385
64385,55815
64385,65317
43905,59313
43905,53897
43905,65317
43905,57789
43905,63981
43905,61103
43905,55133
43905,55235
43905,59803
43905,58093
43905,64597
43905,54929
43905,63411
43905,56591
43905,65125
51073,64595
50047,52317
50047,47145
50047,64865
50047,42829
50047,65353
50047,41233
50047,65445
50047,65425
64383,65317
64383,64385
64383,59853
64383,64603
64383,52317
64383,64533
64383,57367
64383,64597
64383,63411
64383,55995
64383,59011
64383,57347
